name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Dorsch, roh",,,18.1,0.0,0.6,78,0.1,0.1,0.2,,,0.0,0.1,0.0,0.059,,,5e-05,5e-05,0.0021000000000000003,0.0,0.00014000000000000001,,1.1e-05,1.4e-06,0.0,1.8000000000000001e-06,0.0005899999999999999,,,0.023,0.41,0.013,,0.0004,0.053,0.0002,0.2,2.3e-05,0.00016,,
Dulce de Leche,,,5.7,52.6,7.3,299,4.4,1.7,0.3,,,52.6,0.2,0.0,0.028,,,2.9999999999999997e-05,0.00037,0.00019,0.00055,4e-05,,5e-06,2.7e-07,0.0013,1.0000000000000001e-07,0.00023,,,0.018,0.28,0.21,,0.0006,0.069,0.0001,0.16,1.8999999999999998e-06,1.7e-05,,
"Edamame (unreife Sojabohne), geschält, gefroren",,,11.5,5.1,7.4,143,0.9,2.4,2.7,,,1.4,0.0,5.5,0.0,,,0.00015,0.00011999999999999999,0.00088,0.0016899999999999999,8.999999999999999e-05,,0.000108,0.0,0.0154,0.0,0.00249,,,0.06,0.4,0.07,,0.0012,0.009800000000000001,0.0019,0.16,1e-06,0.0,,
"Edelkastanie, roh",,,2.9,41.2,1.9,210,0.3,1.0,0.5,,,14.0,0.0,8.4,0.0,,,0.00020999999999999998,8e-05,0.00108,0.00044,0.0002,,5.47e-05,0.0,0.0456,0.0,0.0005,,,0.031,0.38,0.018,,0.001,0.0006,0.0021000000000000003,0.059,1.8000000000000001e-06,1.0000000000000001e-07,,
"Egli, roh",,,18.0,0.0,0.7,79,0.1,0.1,0.3,,,0.0,0.2,0.0,0.07,,,7.000000000000001e-05,0.0001,0.0029,0.00019,0.00011999999999999999,,5e-06,1e-06,0.002,4e-06,0.00074,,,0.026,0.37,0.018,,0.0006,0.092,0.0002,0.22,2.9e-05,5e-06,,
"Eierlikör, 16.5 vol%",,,4.0,28.0,7.0,285,2.0,2.9,1.0,,,28.0,0.0,0.0,0.15,,,7.000000000000001e-05,0.00017,5.9999999999999995e-05,0.00106,8.999999999999999e-05,,4e-05,5e-07,0.0003,2e-06,0.00054,,,0.004,0.014,0.014,,0.0005,0.005,0.0007,0.05,0.0,1e-06,,
"Eieromeletten mit Käse, zubereitet",,,14.0,1.2,14.5,192,6.4,4.4,1.5,,,1.2,1.0,0.1,0.275,,,7.000000000000001e-05,0.00029,0.00011,0.00156,8.999999999999999e-05,,3.84e-05,1.17e-06,0.002,2e-06,0.0009699999999999999,,,0.017,0.16,0.21,,0.0017,0.38,0.0014,0.26,0.0,3.2e-05,,
"Eieromeletten mit Schinken, zubereitet",,,12.8,1.3,9.6,143,3.3,3.3,1.3,,,1.3,1.0,0.1,0.266,,,0.00016,0.00025,0.00093,0.00157,0.00011,,3.7e-05,9.399999999999999e-07,0.0108,1.8999999999999998e-06,0.00094,,,0.015,0.21,0.065,,0.0013,0.42,0.0015,0.21,1.8e-05,3.1e-05,,
"Eieromeletten mit Speck, zubereitet",,,12.5,1.3,13.4,175,4.8,5.1,1.6,,,1.3,0.7,0.1,0.268,,,0.00014000000000000001,0.00025,0.00062,0.00157,8.999999999999999e-05,,3.73e-05,9.8e-07,0.0055,2e-06,0.0009599999999999999,,,0.014,0.18,0.064,,0.0013,0.28,0.0014,0.18,1.9e-05,3e-05,,
"Eieromeletten, zubereitet",,,11.4,1.4,11.1,151,3.8,3.8,1.5,,,1.4,0.8,0.0,0.31,,,8e-05,0.00026000000000000003,7.000000000000001e-05,0.00176,7.000000000000001e-05,,4.15e-05,1.1100000000000002e-06,0.0002,2.3e-06,0.0010500000000000002,,,0.013,0.17,0.07,,0.0011,0.34,0.0015,0.19,2e-05,3.6e-05,,
"Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz)",,,2.6,0.2,0.6,28,0.1,0.0,0.3,,,0.2,0.0,5.7,0.0,,,2e-05,0.00015,0.00507,0.00157,4e-05,,9.4e-06,0.0,0.005,2.6e-06,0.00011999999999999999,,,0.014,0.48,0.0095,,0.0006,0.0032,0.0067,0.051,0.0,3.5e-06,,
"Eierschwamm, roh",,,2.3,0.2,0.5,24,0.1,0.0,0.3,,,0.2,0.0,4.7,0.0,,,2e-05,0.00015,0.0052,0.00157,4e-05,,1.29e-05,0.0,0.0057,2.1000000000000002e-06,0.0001,,,0.014,0.51,0.008,,0.0006,0.003,0.0065,0.044,0.0,3e-06,,
"Eisbergsalat, roh",,,0.8,2.1,0.2,15,0.0,0.0,0.1,,,2.1,0.0,1.0,0.0,,,4e-05,2.9999999999999997e-05,0.00014000000000000001,8.999999999999999e-05,4e-05,,3.09e-05,0.0,0.004,0.0,8.999999999999999e-05,,,0.0070999999999999995,0.18,0.022,,0.0002,0.0064,0.0003,0.022,2.0000000000000002e-07,0.0,,
"Eistee, gezuckert",,,0.0,7.5,0.0,30,0.0,0.0,0.0,,,7.5,0.0,0.0,0.0,,,0.0,0.0,8.999999999999999e-05,0.0,0.0,,4.6e-06,0.0,0.0,0.0,0.0,,,0.0009,0.018,0.0001,,0.0,0.0,0.0,0.0009,0.0,9.000000000000001e-07,,
"Emmentaler, vollfett",,,28.4,0.0,32.6,408,20.3,7.9,1.5,,,0.0,0.4,0.0,0.084,,,1e-05,0.0003,0.00017999999999999998,0.0003,0.00011999999999999999,,9.4e-06,1.6699999999999999e-06,0.0,5e-07,0.00035,,,0.031,0.084,1.03,,0.0046,0.17,0.0004,0.62,0.0,2e-05,,
"Endivie, roh",,,1.8,1.2,0.2,16,0.1,0.0,0.1,,,1.2,0.1,1.2,0.0,,,5e-05,0.00011999999999999999,0.00041,0.00044,4e-05,,0.000109,0.0,0.0129,0.0,0.0,,,0.0081,0.22,0.023,,0.0002,0.052,0.0005,0.026,2.0000000000000002e-07,2.8999999999999998e-06,,
"Energy Drink mit Koffein, Taurin und Vitaminen, gezuckert",,,0.0,10.9,0.0,44,0.0,0.0,0.0,,,10.8,0.2,0.0,0.0,,,0.0,0.00043,0.00754,0.00155,0.0014199999999999998,,0.0,1.6299999999999999e-06,0.0,0.0,0.0,,,0.001,0.003,0.004,,0.0,0.063,0.0,0.003,1.0000000000000001e-07,0.0,,
"Energy Drink mit Koffein, Taurin und Vitaminen mit Süssstoffen",,,0.0,0.2,0.0,1,0.0,0.0,0.0,,,0.0,0.2,0.0,0.0,,,0.0,0.00043,0.00777,0.00155,0.0015400000000000001,,0.0,1.77e-06,0.0,0.0,0.0,,,0.001,0.003,0.004,,0.0,0.063,0.0,0.003,1.0000000000000001e-07,0.0,,
Engadiner Nusstorte,,,7.0,49.9,27.7,481,10.2,6.2,8.7,,,30.9,0.0,2.0,0.062,,,0.00011,5e-05,0.00017,0.00047,5.9999999999999995e-05,,2.36e-05,1.1e-07,0.0002,4.0000000000000003e-07,0.0008900000000000001,,,0.03,0.15,0.033,,0.0008,0.015,0.0008,0.11,0.0,4.5e-06,,
"Erbse, grün, gedämpft (ohne Zugabe von Salz)",,,7.6,12.5,0.8,99,0.1,0.1,0.3,,,2.5,0.0,5.8,0.0,,,0.00017,0.00014000000000000001,0.0019199999999999998,0.0007,0.00011,,4.16e-05,0.0,0.0351,0.0,0.00023999999999999998,,,0.028,0.19,0.049,,0.0007,0.0017,0.0011,0.066,2e-06,1.8999999999999998e-06,,
"Erbse, grün, roh",,,6.9,11.3,0.7,90,0.1,0.1,0.3,,,2.3,0.0,5.3,0.0,,,0.00019,0.00013000000000000002,0.00209,0.0007199999999999999,0.00011,,6.0299999999999995e-05,0.0,0.043,0.0,0.00020999999999999998,,,0.027,0.19,0.045,,0.0007,0.0018,0.0011,0.061,1.8000000000000001e-06,1.7e-06,,
"Erbse, grün, tiefgekühlt",,,5.3,10.8,0.7,81,0.1,0.1,0.4,,,5.7,0.0,5.3,0.0,,,0.0006,8e-05,0.0023,0.00011,0.00011999999999999999,,5e-05,0.0,0.022,0.0,0.00011,,,0.026,0.17,0.036,,0.0008,0.004,0.0018,0.086,9.000000000000001e-07,2e-06,,
Erbse (Konserve) ,,,4.8,12.8,0.8,87,0.1,0.1,0.4,,,0.0,0.7,5.0,0.0,,,0.00011999999999999999,8e-05,0.001,0.00013000000000000002,5e-05,,4e-05,0.0,0.009,0.0,0.0002,,,0.021,0.12,0.032,,0.0006,0.27,0.0016,0.083,0.0,5.2e-06,,
