name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0,n.d.,,,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
"Blackberry pie, home-made, baked (with puff pastry)",,,3.3,16.0,7.8,156,3.3,3,1.1,,,6.4,0.3,4.2,20,,,0.03,0.06,0.37,,0.03,,10.4,0.08,6.3,0.2,1.27,,,18,180,37,,0.3,120.0,0.5,46,1.6,3.5,,
"Blackberry pie, home-made (with sweet short pastry base)",,,3.2,22.3,11.7,215,5.7,3.9,1.2,,,10.2,0.1,3.6,19,,,0.04,0.05,0.33,,0.04,,11.6,0.05,6.2,0.1,1.24,,,18,160,30,,0.3,41.0,0.5,47,n.d.,1.9,,
Black forest cake,,,3.9,21.4,16.1,248,9.3,5,0.8,,,12,0.1,0.9,88,,,0.03,0.1,0.19,,0.04,,6,0,0.8,1,0.72,,,13,110,47,,0.5,51.0,0.7,77,n.d.,5.3,,
Black pudding,,,10.2,2.5,10.9,149,4.6,4.6,1,,,2.4,2.0,0.1,32,,,0.05,0.12,0.38,,0.19,,5.1,1.09,0.5,0,0.12,,,13,140,61,,1.6,790.0,30,64,n.d.,6.9,,
"Black salsify, raw",,,1.4,2.1,0.3,54,0,0.1,0.2,,,2.1,0.0,18.5,0,,,0.14,0.04,0.3,,0.1,,29.2,0,4.9,0,0.8,,,24,240,33,,0.4,3.0,1.1,82,0.2,0.2,,
"Black salsify, steamed (without addition of salt)",,,1.5,2.2,0.3,56,0,0.1,0.2,,,2.2,0.0,19.3,0,,,0.12,0.04,0.27,,0.09,,19.5,0,4.4,0,0.89,,,23,230,35,,0.4,2.7,1,86,0.2,0.2,,
"Blanc battu, plain, low fat",,,7.8,3.9,0.0,47,0,0,0,,,3.9,0.1,0,1,,,0.04,0.32,0.2,,0.06,,24,0.36,0,0.1,0,,,12,140,130,,0.5,44.0,0.2,120,n.d.,10,,
"Blanc battu with fruits, with sweetener",,,8.0,8.3,0.2,67,0.1,0,0,,,5.2,0.1,0.3,0,,,0.03,0.34,0.28,,0.04,,15.1,0.39,1.5,0,0.06,,,13,180,130,,0.5,48.0,0.1,140,n.d.,19,,
"Blueberry, freeze-dried",,,6.1,56.4,4.4,338,0.3,0.6,1.7,,,46.4,0.0,24.4,0,,,0.42,0.42,3.7,,0.46,,25,0,15,0,7.6,,,49,540,120,,1.1,1.7,1.8,140,1.4,5.6,,
"Blueberry, raw",,,0.9,10.6,0.2,51,0,0,0.1,,,10,0.0,1.5,0,,,0.03,0.03,0.22,,0.05,,9,0,7.5,0,1.34,,,5,66,10,,0.1,2.0,0.6,16,0.5,2,,
Blue cheese (average),,,19.1,0.1,32.6,370,21.8,6.6,1.1,,,0.1,3.4,0,84,,,0.03,0.6,0.53,,0.08,,40.6,0.74,0,0.6,0.33,,,26,130,640,,2.2,1370.0,0.2,370,n.d.,46,,
"Boiling meat salad, prepared",,,15.0,1.5,14.9,201,3.5,7.9,2.8,,,1.2,0.8,0.5,45,,,0.03,0.09,2.58,,0.21,,11.5,0.67,7.3,0.3,2.76,,,13,200,11,,3.3,310.0,1.4,100,n.d.,2.9,,
"Bouillon, meat, prepared",,,0.3,0.2,0.3,5,0.2,0.1,0,,,0,1.1,0,0,,,0,0.01,0.83,,0.01,,23,1,0,0,0,,,10,54,1,,0,420.0,0.2,13,n.d.,3,,
"Bouillon, poultry, prepared",,,0.3,0.3,0.3,5,0.1,0.1,0.1,,,0.1,1.0,0,5,,,0,0.01,1.2,,0.01,,23,0.4,0,0,0,,,11,10,6,,0,400.0,0,5,n.d.,2.8,,
"Bouillon, vegetable, prepared",,,0.3,0.4,0.4,6,0.1,0.2,0.1,,,0.1,0.9,0,0,,,0.11,0.01,0.1,,0,,1,0,0,0,0,,,4,8,1,,0,360.0,0.1,3,n.d.,3.6,,
"Braided bread, wholemeal, made with butter",,,9.5,40.4,6.4,272,3.2,1.4,1.2,,,0.9,1.2,7.4,20,,,0.25,0.15,0.67,,0.29,,33.9,0.03,0,0.1,0.66,,,86,270,22,,2.3,460.0,3.3,240,3.7,2.6,,
Braided white bread made with butter,,,9.0,45.7,11.4,325,6.5,2.6,0.9,,,2.9,1.5,2.1,41,,,0.11,0.13,0.5,,0.06,,23.4,0.1,0.2,0.3,0.56,,,14,180,49,,0.6,590.0,0.5,90,2.6,5.3,,
Brazil nut,,,17.0,4.2,66.5,698,16.1,23.9,24.4,,,2.3,0.0,7.5,0,,,0.62,0.04,0.3,,0.1,,22,0,0.7,0,5.65,,,350,640,160,,4.3,0.7,2.4,650,230,5,,
Bread (average),,,9.2,44.6,4.6,264,2.3,1,0.7,,,1.3,1.6,3.7,14,,,0.17,0.1,0.74,,0.12,,21.8,0.04,0.1,0.1,0.41,,,36,170,29,,1.2,620.0,1.5,130,2.9,2.7,,
Breadcrumbs,,,12.7,73.5,2.1,373,0.5,0.3,0.7,,,4.4,1.0,4.5,0,,,0.2,0.05,0.8,,0.11,,39,0,0,0,0.4,,,23,130,50,,0.9,400.0,1.2,100,n.d.,2.8,,
"Bread for toasting, dark or multigrain",,,9.1,45.6,4.7,272,0.5,1.9,2,,,4,1.3,5.2,0,,,0.19,0.1,0.72,,0.23,,26.5,0,0,0,1.43,,,59,200,17,,1.7,500.0,2.4,180,3.7,1.4,,
"Bread for toasting, white, made with butter",,,8.9,45.7,10.4,316,5.9,2.4,0.9,,,2.7,1.4,2.2,38,,,0.11,0.12,0.48,,0.06,,22,0.1,0.2,0.2,0.54,,,14,180,46,,0.6,540.0,0.5,88,2.6,5.1,,
"Bread for toasting, white, made with vegetable oil",,,8.7,49.2,3.3,267,0.3,1.6,1.1,,,4.4,1.3,2.9,0,,,0.16,0.06,0.62,,0.16,,25,0,0,0,0.85,,,30,140,13,,1,520.0,1.4,110,2.8,0.9,,
"Bread for toasting, wholemeal",,,9.3,43.7,4.9,271,0.5,1.9,2.3,,,4.2,1.3,7.4,0,,,0.25,0.14,0.63,,0.29,,31.6,0,0,0,1.59,,,87,270,21,,2.3,510.0,3.4,240,3.3,1.8,,
Bread roll from St. Gallen (semi white),,,9.1,44.6,1.0,231,0.1,0.1,0.5,,,0.3,2.1,3.5,0,,,0.15,0.07,0.78,,0.18,,20.7,0,0,0,0.27,,,37,140,16,,1.2,840.0,1.7,130,2.7,1.2,,
Bread roll (semi white),,,8.6,41.4,1.0,215,0.2,0.1,0.4,,,0.4,1.9,3.1,0,,,0.15,0.07,0.77,,0.12,,25.9,0,0,0,0.26,,,31,130,16,,1,760.0,1.3,120,2.7,1.1,,
"Bread roll, white",,,8.7,51.8,0.8,255,0.2,0.1,0.4,,,0.7,1.7,2.5,0,,,0.11,0.04,0.43,,0.06,,15.4,0.01,0,0,0.38,,,14,140,7.8,,0.5,690.0,0.6,60,1.9,0.9,,
Bread roll with chocolate,,,8.6,49.7,14.3,366,8.5,4.1,0.9,,,16.3,1.3,2.2,20,,,0.12,0.21,0.51,,0.1,,21.6,0.05,0.9,0.1,0.43,,,34,310,100,,1.1,530.0,1.3,160,n.d.,1.1,,
Bread with walnuts,,,9.2,30.2,17.9,331,3.9,3.8,8.9,,,1.6,1.2,6.4,23,,,0.23,0.1,0.75,,0.18,,43.4,0.05,0.1,0.2,0.8,,,67,240,31,,1.9,490.0,2.1,210,3,3.7,,
Bresaola (cured beef),,,32.4,0.4,2.6,155,0.8,1.1,0.4,,,0,6.8,0,65,,,0.12,0.6,2.4,,0.53,,19,0,0,0.5,0.12,,,0,320,35,,4.1,2730.0,2.4,140,7,0,,
"Brie, at least 45% fidm",,,21.4,0.0,23.5,298,14.1,5.5,1.1,,,0,1.3,0,71,,,0.02,0.25,1.2,,0.14,,65,1.8,0,0.5,0.61,,,19,84,420,,2.5,510.0,0.1,300,n.d.,8.3,,
"Brie, at least 50% fidm",,,17.7,0.0,30.0,342,18,7,1.4,,,0,1.4,0,90,,,0.02,0.34,1.1,,0.13,,61.1,1.31,0,0.7,0.78,,,20,120,500,,2.3,560.0,0.2,340,n.d.,20,,
