name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0,n.d.,,,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
Cotto (meat product),,,15.7,0.6,3.1,93,1.2,1.5,0.2,,,0.6,2.3,0,35,,,0.47,0.15,4.2,,0.27,,n.d.,0,46.3,0,0,,,18,380,7.5,,2.1,910.0,0.7,240,7.4,n.d.,,
"Couscous (precooked durum wheat semolina), cooked (without addition of fat and salt)",,,5.0,31.0,1.0,158,0.3,0.3,0.4,,,1.6,0.0,2.3,0,,,0.06,0.01,0.24,,0.43,,12.4,0,0.5,0,0.08,,,19,110,15,,0.6,5.0,0.5,73,3.2,2.3,,
"Cow milk, skimmed, UHT",,,3.3,4.7,0.1,33,0.1,0,0,,,4.7,0.1,0,0,,,0.02,0.16,0.1,,0.03,,5,0.1,0.6,0,0,,,11,160,130,,0.4,39.0,0,97,0.9,3.1,,
"Cracker, salty snacks",,,9.2,66.3,15.9,449,6,6.8,2.4,,,0,1.5,2.1,0,,,0.22,0.05,1.65,,0.12,,21.3,0,0,0,1.7,,,24,120,110,,0.7,590.0,1.6,110,n.d.,13,,
"Cranberry, fresh",,,0.3,6.2,0.5,36,0,0.1,0.3,,,6.1,0.0,2.9,0,,,0.02,0.02,0.1,,0.01,,3,0,12,0,0.94,,,6,81,14,,0.2,2.0,0.5,10,0.1,5,,
"Cream, 35% fat, pasteurized",,,2.0,3.1,34.8,334,20.9,8.2,1.6,,,3.1,0.1,0,101,,,0.02,0.13,0.08,,0.03,,7,0.21,0.7,0.5,0.84,,,6.2,120,71,,0.2,35.0,0.1,71,n.d.,7,,
"Cream, 35% fat, UHT",,,2.0,3.1,34.9,335,20.9,8.2,1.6,,,3.1,0.1,0,101,,,0.02,0.12,0.05,,0.02,,1.5,0.16,0,0.6,0.77,,,6.3,110,71,,0.2,25.0,0,68,n.d.,6.1,,
"Cream, at least 45 % milk fat, pasteurized",,,1.9,2.7,50.0,468,30,11.7,2.3,,,2.7,0.1,0,147,,,0.02,0.19,0,,0.01,,7,0.6,1,0.3,1.64,,,5,65,49,,0.2,22.0,0.1,52,n.d.,35,,
Cream (average),,,2.2,3.3,28.6,279,17.1,6.7,1.3,,,3.3,0.1,0,85,,,0.02,0.14,0.08,,0.02,,5.1,0.28,0.5,0.4,0.67,,,7.1,120,80,,0.2,42.0,0,74,n.d.,9.1,,
"Cream cheese, min. 60% fidm",,,11.1,4.5,32.1,351,19.2,7.5,1.5,,,2.3,1.3,0,96,,,0.04,0.26,0.11,,0.06,,26.5,0.6,0,0,0.7,,,8,100,110,,0.4,500.0,0.2,130,n.d.,8,,
"Cream, pasteurized, 25% fat",,,2.3,3.3,27.9,274,16.7,6.6,1.3,,,3.3,0.1,0,82,,,0.02,0.15,0.07,,0.03,,6.8,0.26,0.9,0.4,0.62,,,7,130,78,,0.2,35.0,0,64,n.d.,12,,
Cream slice,,,4.1,28.8,18.8,301,11,4.5,1,,,21.3,0.3,0.3,78,,,0.03,0.14,0.09,,0.04,,6.7,0.25,0.3,0.5,0.55,,,11,130,77,,0.4,120.0,0.3,86,n.d.,8.9,,
"Cream, UHT",,,2.5,3.7,25.1,251,15.1,5.9,1.2,,,3.7,0.1,0,71,,,0.02,0.13,0.07,,0.02,,2.7,0.26,0,0.4,0.69,,,8.6,140,91,,0.3,34.0,0,74,n.d.,12,,
"Crispbread, wholemeal",,,12.0,57.9,1.7,325,0.2,0.2,1.1,,,1.1,1.5,14.8,0,,,0.31,0.14,1.19,,0.36,,29.6,0,0,0,0.85,,,100,380,26,,3.4,610.0,4,340,4,3.7,,
"Crispbread, wholemeal, with linseeds",,,12.9,52.4,5.8,345,0.7,1,3.7,,,1.1,1.5,16,0,,,0.33,0.12,1.08,,0.34,,33.7,0,0,0,0.8,,,130,410,47,,3.5,610.0,4.3,360,4.9,3.6,,
"Crispbread, wholemeal, with sesame",,,13.1,52.4,6.9,354,1,2.1,3.1,,,1.1,1.5,14.6,0,,,0.35,0.14,1.53,,0.36,,43.7,0,0,0,0.77,,,130,390,120,,3.6,610.0,4.4,370,5.6,3.9,,
Croissant (average),,,7.8,40.4,22.0,398,12.8,5.1,1.4,,,2.3,1.2,3.9,70,,,0.12,0.09,0.63,,0.11,,21.9,0.07,0.1,0.4,0.72,,,24,160,33,,1,460.0,1,110,2.8,2.8,,
"Croissant filled with nuts, puff pastry",,,6.8,36.2,26.9,419,9.9,12.4,2.1,,,15.8,0.5,2.7,71,,,0.13,0.04,0.33,,0.14,,17.8,0.08,0.4,0.4,3.53,,,39,190,42,,1,210.0,1.2,110,2,4.4,,
"Croissant filled with nuts, yeast dough",,,7.7,41.9,12.6,318,3.4,6.9,1.5,,,18.4,0.6,2.5,36,,,0.19,0.13,0.9,,0.13,,35,0.1,0.3,0.2,2.64,,,32,200,48,,0.8,260.0,1,120,0.8,3.9,,
"Croissant, pretzel (with iodized salt)",,,9.1,39.4,25.0,423,14.7,5.8,1.5,,,1.3,4.1,1.9,76,,,0.11,0.09,0.39,,0.05,,20,0.08,0,0.5,0.75,,,11,140,35,,0.5,1630.0,0.4,68,2,100,,
"Croque Monsieur, Hot Sandwich with cheese and ham",,,16.4,26.6,9.4,260,4.4,2.9,1.1,,,2.6,2.3,1.8,31,,,0.31,0.15,2.14,,0.21,,15.5,0.34,16.2,0.2,0.7,,,39,240,180,,2.2,920.0,1.2,370,n.d.,12,,
"Cucumber, pickled",,,0.7,2.1,0.1,14,0,0,0,,,1.9,1.8,1,0,,,0.02,0.02,0.2,,0.02,,7,0,5,0,0.1,,,11,100,14,,0.3,700.0,1,20,n.d.,0,,
"Cucumber, raw",,,0.7,1.8,0.0,12,0,0,0,,,1.8,0.0,0.8,0,,,0.02,0.01,0.18,,0.03,,10.5,0,8.9,0,0.05,,,9.9,140,16,,0.1,1.7,0.2,23,0,1.7,,
"Curd cheese puff pastry (with butter), raw",,,7.1,29.0,28.3,401,16.8,6.6,1.6,,,1.3,0.8,1.3,78,,,0.09,0.12,0.22,,0.07,,11.7,0.12,0.1,0.4,0.83,,,16,110,38,,0.6,330.0,0.6,89,n.d.,3.2,,
"Curd cheese puff pastry (with vegetable fat), raw",,,7.1,28.8,26.9,388,9.7,11.6,4.4,,,1.2,0.9,1.3,17,,,0.09,0.12,0.27,,0.07,,12.2,0.13,0.1,1,3.62,,,16,120,37,,0.6,350.0,0.6,90,n.d.,3.6,,
Curds min. 40% fidm,,,6.9,3.7,15.6,183,9.4,3.7,0.7,,,3.2,0.1,0,53,,,0.02,0.3,0.28,,0.03,,16.7,0.38,0.4,0.2,0.4,,,8.1,120,93,,0.3,29.0,0,110,n.d.,8.5,,
"Curds, plain, half fat",,,9.4,4.1,5.0,99,3,1.2,0.2,,,3.4,0.1,0,17,,,0.01,0.41,0.3,,0.03,,18.6,0.47,0.2,0.1,0.13,,,9.3,130,110,,0.4,32.0,0,140,n.d.,21,,
Curds with at most 10% fidm,,,10.6,4.2,0.2,61,0.1,0,0,,,3.5,0.1,0,0,,,0.01,0.39,0.31,,0.04,,19.4,0.42,0.1,0,0,,,9.9,140,110,,0.5,33.0,0,150,n.d.,27,,
"Curd, with fruits, with sugar",,,8.4,14.1,2.4,112,1.4,0.6,0.1,,,13.4,0.1,0.1,8,,,0.01,0.34,0.27,,0.03,,16.3,0.37,0.6,0.1,0.09,,,8.6,120,93,,0.4,27.0,0,120,n.d.,20,,
"Currant, black, raw",,,1.3,9.7,0.9,71,0.1,0.1,0.5,,,9.7,0.0,5.8,0,,,0.04,0.08,0.31,,0.07,,11.5,0,209.3,0,1.5,,,23,330,57,,0.3,2.5,1.2,54,1.4,1,,
"Currant, red, raw",,,1.6,7.1,0.7,50,0.2,0.1,0.4,,,6.6,0.0,4.6,0,,,0.03,0.04,0.29,,0.04,,10.5,0,33,0,0.8,,,12,230,38,,0.2,5.0,0.4,38,1.3,1,,
"Date, dried",,,2.4,64.7,0.4,287,0,0,0,,,64.7,0.0,7.5,0,,,0.06,0.06,1.36,,0.12,,18.4,0,0.2,0,0.67,,,55,730,68,,0.4,11.0,2.2,68,2,1,,
"Deer (average), raw",,,20.6,0.0,3.3,112,1.7,0.7,0.8,,,0,0.2,0,50,,,0.25,0.25,5.53,,0.3,,5,1,0,0,0.13,,,21,310,10,,3.2,62.0,2.3,200,n.d.,0.6,,
"Deer, entrecôte, raw",,,23.1,0.0,2.1,111,1.1,0.4,0.5,,,0,0.1,0,59,,,0.26,0.6,5.53,,0.99,,6,6.3,0,0.4,0.2,,,23,320,3.2,,2.9,53.0,3,200,n.d.,7.8,,
Donut with chocolate glaze,,,6.4,44.0,17.6,364,7.9,7,1.4,,,21.1,0.3,2,47,,,0.1,0.12,0.4,,0.08,,22.9,0.15,0.2,0.3,1.63,,,29,210,37,,0.8,110.0,1.5,97,n.d.,5.5,,
Dough for french pizza from Alsace,,,7.5,39.9,2.9,221,1.4,0.6,0.5,,,0.6,1.3,2.7,6,,,0.14,0.04,0.52,,0.13,,17.6,0,0,0,0.3,,,25,110,11,,0.8,500.0,1.1,88,2.8,0.8,,
"Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat)",,,39.3,0.4,3.5,190,1.6,1.5,0.2,,,0.4,4.1,0,84,,,0.1,0.23,10.44,,0.45,,0,1.58,1.1,0,0,,,37,640,0,,6.5,1620.0,4,330,14,0,,
Drinking water (average Switzerland),,,0.0,0.0,0.0,0,0,0,0,,,0,0.0,0,0,,,0,0,0,,0,,0,0,0,0,0,,,1,0,7,,0,1.0,0,0,0,0,,
Dulce de Leche,,,5.7,52.6,7.3,299,4.4,1.7,0.3,,,52.6,0.2,0,28,,,0.03,0.37,0.19,,0.04,,5,0.27,1.3,0.1,0.23,,,18,280,210,,0.6,69.0,0.1,160,1.9,17,,
"Durum wheat, precooked hulled grain, cooked (without addition of fat and salt)",,,5.9,27.4,0.9,149,0.2,0.3,0.3,,,0,0.0,3.8,0,,,0.06,0.01,0.26,,0.05,,10.2,0,0.5,0,0.08,,,28,99,21,,0.7,5.0,0.8,96,3.1,2.2,,
Durum wheat semolina,,,13.3,66.8,1.6,347,0.2,0.1,0.5,,,1.7,0.0,6.3,0,,,0.11,0.04,0.55,,0.09,,46.7,0,0,0,0.31,,,54,210,23,,1.8,1.6,2.6,170,7.2,5.1,,
"Edamame (immature soy bean), shelled, frozen",,,11.5,5.1,7.4,143,0.9,2.4,2.7,,,1.4,0.0,5.5,0,,,0.15,0.12,0.88,,0.09,,108,0,15.4,0,2.49,,,60,400,70,,1.2,9.8,1.9,160,1,0,,
"Edible boletus, fresh",,,5.4,0.5,0.4,39,0.1,0,0.2,,,0.1,0.0,6,0,,,0.32,1.02,14.64,,0.03,,25,0,1.9,3.1,0.16,,,12,340,4.2,,1.5,6.0,1,85,n.d.,3.6,,
"Edible boletus, stewed (without addition of fat and salt)",,,6.1,0.6,0.5,46,0.1,0,0.2,,,0.1,0.0,7.3,0,,,0.3,1.03,14.28,,0.03,,18.3,0,1.7,3.8,0.19,,,12,320,5,,1.6,6.4,1,98,n.d.,4.2,,
"Egg liqueur, 16.5 vol%",,,4.0,28.0,7.0,285,2,2.9,1,,,28,0.0,0,150,,,0.07,0.17,0.06,,0.09,,40,0.5,0.3,2,0.54,,,4,14,14,,0.5,5.0,0.7,50,n.d.,1,,
"Eggplant piccata, prepared",,,5.6,8.9,8.3,138,2.3,4.2,1,,,2.3,0.2,2.7,67,,,0.05,0.09,0.56,,0.08,,18.8,0.32,1.1,0.5,0.66,,,17,230,73,,0.6,96.0,0.6,93,n.d.,9,,
"Eggplant, raw",,,1.1,2.4,0.1,21,0,0,0.1,,,2.4,0.0,2.7,0,,,0.04,0.03,0.72,,0.08,,24.5,0,1.9,0,0.17,,,14,240,12,,0.1,2.5,0.3,21,3.9,0.1,,
"Eggplant slices, breaded, prepared",,,4.7,14.6,5.8,136,0.7,3.6,0.9,,,2.7,0.2,3.1,47,,,0.06,0.07,0.63,,0.08,,19.4,0.17,1.1,0.4,0.62,,,17,230,23,,0.4,62.0,0.6,60,n.d.,5.7,,
"Eggplant, steamed (without addition of salt)",,,1.1,2.4,0.1,21,0,0,0.1,,,2.4,0.0,2.7,0,,,0.03,0.03,0.62,,0.07,,15.8,0,1.5,0,0.18,,,14,210,12,,0.1,2.3,0.3,21,4,0.1,,
"Eggplant, stewed (without addition of fat and salt)",,,1.3,2.8,0.2,24,0,0,0.1,,,2.8,0.0,3.2,0,,,0.04,0.04,0.72,,0.08,,18.4,0,1.7,0,0.21,,,15,230,15,,0.2,2.7,0.3,25,4.6,0.1,,
"Egg, raw",,,12.6,0.3,9.8,140,2.6,3.7,1.7,,,0.3,0.4,0,350,,,0.1,0.29,0.05,,0.09,,67,1.31,0,2.8,1.23,,,12,150,48,,1.2,150.0,1.8,200,23,39,,
"Egg white, raw",,,10.8,0.4,0.0,45,0,0,0,,,0.4,0.5,0,0,,,0.02,0.42,0.04,,0.04,,10,0.33,0,0,0,,,11,150,5.1,,0,190.0,0,12,12,7.5,,
"Egg yolk, raw",,,16.4,0.3,31.3,349,8.8,12,5,,,0.2,0.1,0,1255,,,0.2,0.59,0.04,,0.35,,122,3.42,0,5.6,5.16,,,12,120,140,,3.8,52.0,5.5,560,48,110,,
"Elderberry, raw",,,2.5,7.4,1.7,63,0.1,0.1,1.1,,,7.4,0.0,4,0,,,0.07,0.07,1.6,,0.25,,17,0,29,0,1,,,30,300,37,,0.2,1.0,1.6,57,n.d.,3,,
"Emmentaler cheese, at least 45% fidm",,,28.4,0.0,32.6,408,20.3,7.9,1.5,,,0,0.4,0,84,,,0.01,0.3,0.18,,0.12,,9.4,1.67,0,0.5,0.35,,,31,84,1030,,4.6,170.0,0.4,620,n.d.,20,,
"Endive, raw",,,1.8,1.2,0.2,16,0.1,0,0.1,,,1.2,0.1,1.2,0,,,0.05,0.12,0.41,,0.04,,109,0,12.9,0,0,,,8.1,220,23,,0.2,52.0,0.5,26,0.2,2.9,,
"Energy Drink with caffeine, taurine and vitamins, with sugar",,,0.0,10.9,0.0,44,0,0,0,,,10.8,0.2,0,0,,,0,0.43,7.54,,1.42,,0,1.63,0,0,0,,,1,3,4,,0,63.0,0,3,0.1,0,,
"Energy Drink with caffeine, taurine and vitamins with sweetener",,,0.0,0.2,0.0,1,0,0,0,,,0,0.2,0,0,,,0,0.43,7.77,,1.54,,0,1.77,0,0,0,,,1,3,4,,0,63.0,0,3,0.1,0,,
"Escalope (average of beef, veal, pork, poultry), breaded, fried",,,23.9,10.2,10.2,229,1.5,6.5,1.4,,,0.5,0.9,0.6,90,,,0.28,0.18,7.25,,0.44,,19.4,0.98,0,0.5,2.47,,,26,350,19,,2,340.0,1.2,220,14,6.3,,
"Escalope (average of beef, veal, pork, poultry), pan fried (without addition of fat and salt)",,,29.7,0.2,2.4,141,0.8,1,0.4,,,0,0.2,0,71,,,0.26,0.2,8.76,,0.42,,8.2,0.95,0,0.2,0.48,,,29,370,12,,2.5,72.0,1.2,230,15,1.8,,
"Escalope (average of beef, veal, pork, poultry), raw",,,22.6,0.2,2.1,110,0.7,0.9,0.3,,,0,0.2,0,52,,,0.27,0.16,7.8,,0.45,,7.9,0.9,0,0.2,0.41,,,24,340,9.2,,1.9,61.0,0.9,200,11,1.3,,
"Espresso with coffee cream, no sugar added",,,0.5,0.8,2.5,28,1.5,0.6,0.1,,,0.7,0.0,0.1,8,,,0,0.02,0.13,,0,,0.5,0.08,0.2,0.1,0.06,,,4.1,45,23,,0,14.0,0,17,n.d.,1.9,,
"Eurasian perch, raw",,,18.0,0.0,0.7,79,0.1,0.1,0.3,,,0,0.2,0,70,,,0.07,0.1,2.9,,0.12,,5,1,2,4,0.74,,,26,370,18,,0.6,92.0,0.2,220,29,5,,
Ewe's milk,,,5.5,4.7,7.1,105,4.1,1.7,0.5,,,4.7,0.1,0,27,,,0.08,0.4,0.45,,0.03,,10,0.44,4.2,0.1,0.25,,,18,120,180,,0.5,46.0,0,140,n.d.,10,,
"Extruded partially defatted soya (pieces, minced), dry",,,49.9,9.0,4.4,322,0.6,0.7,2.5,,,7.2,0.0,23.5,0,,,0.15,0.04,2.02,,0.29,,119,0,0,0,0.61,,,270,1980,350,,4.5,1.5,12,580,8.8,0.7,,
Falafel (deep fried in HOLL rapeseed oil),,,8.4,26.9,7.9,225,0.7,5,1.8,,,1.9,0.7,6.4,0,,,0.14,0.04,0.48,,0.11,,51.9,0,4.6,0,2.26,,,47,360,47,,0.9,300.0,1.9,140,n.d.,0.9,,
Farmers' bread,,,9.2,44.3,2.0,242,0.7,0.3,0.6,,,2.4,1.8,4.8,4,,,0.2,0.13,1.09,,0.11,,25,0.03,0.2,0,0.33,,,38,200,46,,1.4,710.0,1.5,170,3.4,1.3,,
"Fennel, raw",,,1.0,2.6,0.4,23,0.1,0.1,0.2,,,2.2,0.1,2.6,0,,,0.02,0.11,0.2,,0.04,,19.6,0,3.3,0,0.14,,,11,320,37,,0.2,22.0,0.2,28,0,0.5,,
"Fennel, steamed (without addition of salt)",,,1.0,2.5,0.4,22,0.1,0.1,0.2,,,2.1,0.0,2.4,0,,,0.02,0.1,0.16,,0.03,,11.8,0,2.5,0,0.14,,,9.9,270,35,,0.2,19.0,0.2,27,0,0.5,,
Fermented dough,,,7.8,38.3,0.9,199,0.1,0.1,0.4,,,0.3,1.2,3,0,,,0.17,0.06,0.71,,0.17,,25.7,0,0,0,0.23,,,32,120,13,,1.1,490.0,1.5,110,3.5,0.9,,
"Feta, cow milk",,,16.0,1.4,20.7,256,12.4,4.9,0.9,,,1.4,3.7,0,62,,,0.04,0.33,0.2,,0.19,,49,0.88,0,0.3,0.5,,,20,150,480,,0,1500.0,0.2,340,n.d.,0,,
"Feta, ewe-/goat milk",,,14.8,0.7,24.3,281,16.8,4.9,0.8,,,0,2.3,0,65,,,0.02,0.54,0.18,,0.01,,18.9,0.41,0,0.1,0.4,,,12,66,220,,1.2,910.0,0.1,190,n.d.,80,,
"Fig, dried",,,3.1,55.9,1.2,267,0.1,0.2,0.7,,,55.9,0.3,10,0,,,0.08,0.08,0.65,,0.12,,12.7,0,0.5,0,0.35,,,67,780,190,,0.5,110.0,1.4,75,0.6,4,,
"Fig, fresh",,,1.2,13.5,0.5,71,0.1,0.1,0.2,,,12.2,0.0,4.1,0,,,0.04,0.03,0.35,,0.06,,24.5,0,3.4,0,0.08,,,22,230,57,,0.2,5.0,0.3,21,1.6,1.5,,
"Fish (average), filet, steamed (without addition of fat and salt)",,,17.9,0.0,5.8,123,0.9,2.4,1.6,,,0,0.2,0,73,,,0.11,0.09,4.31,,0.31,,9.9,3.38,0.6,4.9,1.26,,,27,380,21,,0.5,72.0,0.5,230,37,73,,
"Fish (average), raw ",,,19.1,0.0,5.3,124,0.8,2.2,1.4,,,0,0.2,0,59,,,0.12,0.1,4.92,,0.36,,11.3,3.38,0.6,4.7,1.12,,,25,410,17,,0.4,68.0,0.5,220,33,65,,
Fishburger,,,12.2,26.7,11.5,262,4.9,2.9,3,,,3.9,1.1,1.5,26,,,0.05,0.01,0.63,,0.07,,23.3,0.83,0.5,0.8,2.83,,,22,210,55,,0.6,440.0,0.5,140,n.d.,12,,
"Fish fingers (sticks), breaded and pre deep fried",,,15.5,15.5,11.9,232,0.9,6.8,3.5,,,0.1,0.6,0.7,47,,,0.07,0.04,1.4,,0.12,,8.5,0.88,0,0.9,1.27,,,19,300,10,,0.5,250.0,0.4,140,18,89,,
"Fish fingers/sticks (breaded and pre deep fried), fried in HOLL rapeseed oil",,,16.0,16.8,18.9,302,1.4,12,4.4,,,0.1,0.6,0.8,51,,,0.06,0.04,1.37,,0.1,,7.4,0.86,0,0.8,1.64,,,18,280,11,,0.5,230.0,0.4,140,20,96,,
"Fish fingers/sticks (breaded and pre deep fried), oven baked (without addition of fat)",,,16.7,17.6,12.4,251,1,7.1,3.6,,,0.1,0.6,0.8,53,,,0.06,0.04,1.32,,0.12,,7.7,0.9,0,0.8,1.35,,,19,290,12,,0.5,240.0,0.4,150,21,100,,
"Fish, hake, raw",,,17.0,0.0,0.6,74,0.1,0.2,0.2,,,0,0.2,0,50,,,0.05,0.08,1.43,,0.18,,12,2.1,1.5,0,0.2,,,25,320,25,,0.4,77.0,0.7,190,22,120,,
"Fish, plaice, raw",,,17.1,0.0,1.9,85,0.4,0.4,0.7,,,0,0.3,0,63,,,0.21,0.22,2.9,,0.22,,11,1.5,1.5,3,1.03,,,22,310,61,,0.5,100.0,0.9,200,32,53,,
"Fish, pollock (saithe), raw",,,19.3,0.0,0.8,84,0.2,0.1,0.2,,,0,0.1,0,71,,,0.05,0.05,2,,0.18,,10,1.3,0,0.8,0.76,,,14,440,8,,0.3,40.0,0.2,170,26,85,,
"Fish product, anchovy in oil, drained",,,26.4,0.2,8.5,182,3.1,3.6,1.4,,,0.1,12.0,0,76,,,0.04,0.25,3.9,,0.37,,16,20.9,0.5,1.7,1.16,,,230,250,290,,1.7,4970.0,2.7,280,8,30,,
"Fish product, sardine in oil, drained",,,24.4,0.5,11.6,204,2.8,4.1,3.5,,,0,0.8,0,59,,,0.04,0.16,7.1,,0.28,,16,13.6,0,7.6,1.7,,,39,370,570,,1.9,300.0,2,310,35,80,,
"Fish, sardine, raw",,,19.8,0.0,6.1,134,1.8,1.8,1.6,,,0,0.3,0,51,,,0,0.34,10.1,,0.31,,7,8.3,0,4,0.31,,,32,390,50,,0.7,140.0,1.6,260,51,79,,
"Fish, sole, raw",,,18.7,0.0,0.6,80,0.1,0.1,0.2,,,0,0.3,0,50,,,0.07,0.05,3.5,,0.31,,10,0.8,2,8,1.03,,,25,350,29,,0.1,120.0,0.6,270,23,25,,
"Fish, tuna, raw",,,25.8,0.0,1.3,114,0.2,0.2,0.2,,,0,0.2,0,37,,,0.06,0.04,15.05,,0.84,,15.3,2.57,0.2,3,0.32,,,36,380,3.3,,0.4,65.0,0.8,240,130,13,,
"Flat white (little milk), no sugar added",,,0.7,1.2,0.9,16,0.5,0.2,0,,,1,0.0,0.1,3,,,0,0.05,0.13,,0.01,,0.9,0.03,0.2,0,0.03,,,4.8,54,32,,0.1,9.2,0,21,0.2,2.1,,
"Flat white (much milk), no sugar added",,,1.0,1.6,1.2,22,0.8,0.3,0.1,,,1.4,0.0,0.1,5,,,0.01,0.07,0.13,,0.01,,1.3,0.05,0.3,0,0.04,,,5.4,65,42,,0.1,13.0,0,29,0.3,3,,
"Flat white, no sugar added",,,0.9,1.4,1.1,19,0.7,0.3,0.1,,,1.3,0.0,0.1,4,,,0.01,0.06,0.13,,0.01,,1.2,0.04,0.3,0,0.04,,,5.1,61,38,,0.1,11.0,0,26,0.3,2.6,,
"Flaxseed oil, cold pressed",,,0.0,0.0,100.0,900,9.5,19,67,,,0,0.0,0,0,,,0,0,0,,0,,0,0,0,0,0.18,,,0,0,1,,0.1,0.0,0,1,0,0,,
Florentine,,,9.3,50.7,28.7,514,10.8,12,4.5,,,44.1,0.1,7.6,21,,,0.05,0.1,0.47,,0.04,,16.9,0.28,0.5,1,6.15,,,84,320,120,,1.1,52.0,2.5,180,n.d.,2.6,,
"Flounder, filet, steamed (without addition of fat and Salt)",,,15.5,0.0,1.8,78,0.4,0.4,0.6,,,0,0.4,0,60,,,0.21,0.18,2.98,,0.22,,9.6,1,0.8,0.2,1.25,,,23,270,60,,0.6,160.0,0.3,200,23,7.1,,
"Flounder, raw",,,16.5,0.0,1.6,80,0.4,0.4,0.5,,,0,0.4,0,48,,,0.22,0.21,3.4,,0.25,,11,1,0.8,0.2,1,,,22,290,48,,0.5,150.0,0.3,190,20,6.3,,
Flour (average),,,12.0,68.8,1.4,344,0.3,0.2,0.7,,,0.6,0.0,4.2,0,,,0.23,0.04,0.47,,0.15,,19.1,0,0,0,0.53,,,38,190,12,,1.2,2.7,1.5,130,2.9,1,,
"Flour omelette filled with mushrooms, prepared",,,5.4,11.7,6.5,130,3.4,1.6,0.6,,,1.3,0.5,1.5,51,,,0.08,0.22,1.85,,0.07,,15.4,0.16,1.8,1.3,0.29,,,11,270,34,,0.5,180.0,0.9,100,n.d.,15,,
"Flour omelette filled with vegetables, prepared",,,5.3,17.7,5.5,144,2.2,1.9,0.6,,,2.7,0.4,1.5,62,,,0.06,0.11,0.28,,0.09,,18.7,0.22,19.3,0.4,0.79,,,10,160,41,,0.4,170.0,0.5,70,4.3,8.4,,
"Flour omelette, homemade, prepared",,,7.0,22.2,6.3,175,3,1.7,0.7,,,1.5,0.6,0.9,87,,,0.07,0.12,0.13,,0.04,,13.4,0.31,0.3,0.6,0.46,,,9.9,130,49,,0.5,240.0,0.6,87,5.9,11,,
"Flour omelette with apple, prepared",,,3.5,16.7,3.2,113,1.5,0.8,0.4,,,6.7,0.3,1.5,42,,,0.04,0.07,0.11,,0.04,,9.8,0.15,1.4,0.3,0.44,,,6.9,120,26,,0.3,120.0,0.4,47,n.d.,6,,
"Flour omelette with bacon, prepared",,,9.3,17.3,8.9,188,3.5,3.4,1,,,1.3,1.1,0.8,102,,,0.13,0.14,0.68,,0.06,,16,0.39,5.1,0.8,0.52,,,11,150,46,,0.8,440.0,0.7,110,n.d.,12,,
"Flour omelette with cheese, prepared",,,10.0,18.2,8.9,194,4.4,2.4,0.9,,,1.3,0.9,0.8,111,,,0.06,0.17,0.13,,0.05,,16.3,0.54,0.2,0.8,0.52,,,13,130,150,,1,360.0,0.7,160,n.d.,14,,
"Flour omelette with ham, prepared",,,9.7,17.3,5.1,155,2.1,1.6,0.7,,,1.3,1.0,0.8,101,,,0.15,0.15,0.99,,0.08,,15.8,0.36,10.6,0.7,0.5,,,13,180,47,,0.8,410.0,0.7,130,n.d.,13,,
"Flour omelette with Nutella, prepared",,,6.7,30.4,12.7,266,5.3,5,1.4,,,14.4,0.5,1.4,66,,,0.07,0.14,0.17,,0.05,,14.3,0.28,0.3,0.5,1.27,,,21,200,69,,0.6,190.0,1.2,100,n.d.,9.6,,
"Flour omelette with sugar and cinnamon, prepared",,,6.6,26.2,5.9,186,2.8,1.6,0.7,,,6.6,0.6,0.9,83,,,0.06,0.11,0.12,,0.04,,12.7,0.3,0.3,0.6,0.43,,,9.4,120,47,,0.5,230.0,0.6,82,5.6,11,,
"Flour, white and semi-white (average)",,,12.0,69.7,1.3,345,0.3,0.2,0.7,,,0.3,0.0,3.3,0,,,0.2,0.03,0.35,,0.14,,15.5,0,0,0,0.53,,,30,180,10,,1,2.0,1.3,110,2.6,0.8,,
"Fondue moitié-moitié, prepared",,,16.7,1.0,20.8,291,12.5,4.9,1,,,0,1.0,0,62,,,0.01,0.23,0.14,,0.07,,7.6,0.95,0,0.4,0.39,,,23,93,520,,2.4,400.0,0.4,360,n.d.,16,,
