name,brand,barcode,proteins,carbohydrates,fats,calories,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0.0,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
"Cream, at least 45 % milk fat, pasteurized",,,1.9,2.7,50.0,468,30,11.7,2.3,,,2.7,0.1,0.0,147,,462,0.02,0.19,0,0.23,0.01,,7,0.6,1,0.3,1.64,,,5,65,49,,0.2,22.0,0.1,52,n.d.,35,,
"Cream, pasteurized, 25% fat",,,2.3,3.3,27.9,274,16.7,6.6,1.3,,,3.3,0.1,0.0,82,,290,0.02,0.15,0.07,0.45,0.03,,6.8,0.26,0.9,0.4,0.62,,,7,130,78,,0.2,35.0,0,64,n.d.,12,,
"Cream, UHT",,,2.5,3.7,25.1,251,15.1,5.9,1.2,,,3.7,0.1,0.0,71,,278,0.02,0.13,0.07,0.45,0.02,,2.7,0.26,0,0.4,0.69,,,8.6,140,91,,0.3,34.0,0,74,n.d.,12,,
"Crispbread, wholemeal",,,12.0,61.1,1.7,332,0.3,0.2,1.1,,,3.3,1.5,12.4,0,,0,0.31,0.18,1.19,0.85,0.36,,29.6,0,0,0,0.85,,,100,380,26,,3.4,610.0,4,340,4,3.7,,
"Crispbread, wholemeal, with linseeds",,,12.9,55.2,5.7,352,0.7,1,3.7,,,3.1,1.5,13.8,0,,0,0.33,0.16,1.08,0.84,0.34,,33.7,0,0,0,0.82,,,130,410,47,,3.5,610.0,4.3,360,n.d.,3.6,,
"Crispbread, wholemeal, with sesame",,,13.1,55.3,6.9,360,1,2.1,3.1,,,3.1,1.5,12.4,0,,0,0.35,0.19,1.53,0.8,0.36,,43.7,0,0,0,0.79,,,130,390,120,,3.6,610.0,4.4,370,5.6,3.9,,
Croissant (average),,,7.8,41.1,22.0,400,12.8,5.1,1.4,,,2.7,1.2,3.4,70,,189,0.12,0.1,0.63,0.36,0.11,,21.9,0.07,0.1,0.4,0.72,,,24,160,33,,1,460.0,1,110,2.8,2.8,,
"Croissant filled with nuts, puff pastry",,,6.8,36.2,26.9,419,9.9,12.4,2.1,,,15.8,0.5,2.7,72,,148,0.13,0.04,0.34,0.49,0.14,,18.1,0.08,0.4,0.4,3.53,,,40,190,43,,1,210.0,1.3,110,2,4.5,,
"Croissant filled with nuts, yeast dough",,,7.7,41.9,12.6,318,3.3,6.8,1.4,,,18.4,0.7,2.7,39,,47,0.21,0.14,0.97,0.49,0.13,,37.5,0.1,0.3,0.2,2.82,,,34,210,51,,0.9,280.0,1.1,120,0.8,4.2,,
"Croissant, pretzel (with iodized salt)",,,9.1,39.4,25.0,423,14.7,5.8,1.5,,,1.3,4.1,1.9,76,,194,0.11,0.09,0.39,0.35,0.05,,20,0.08,0,0.5,0.75,,,11,140,35,,0.5,1630.0,0.4,68,2,100,,
"Croque Monsieur, Hot Sandwich with cheese and ham",,,16.4,26.6,9.4,260,4.4,2.9,1.1,,,2.6,2.3,1.8,31,,70,0.33,0.15,2.16,0.51,0.21,,15.5,0.34,16.2,0.2,0.7,,,39,240,180,,2.2,920.0,1.2,370,n.d.,12,,
"Cucumber, pickled",,,0.7,2.1,0.1,14,0,0,0,,,1.9,1.8,1.0,0,,15,0.02,0.02,0.2,0,0.02,,7,0,5,0,0.1,,,11,100,14,,0.3,700.0,1,20,n.d.,0,,
"Cucumber, raw",,,0.7,2.0,0.1,14,0,0,0,,,1.9,0.0,0.8,0,,37,0.02,0.02,0.2,0.2,0.03,,8.9,0,9.2,0,0.09,,,10,140,15,,0.1,0.9,0.2,18,n.d.,2.9,,
"Curd cheese puff pastry (with butter), raw",,,7.1,29.0,28.3,401,16.8,6.6,1.6,,,1.3,0.8,1.3,78,,290,0.09,0.12,0.22,0.27,0.07,,11.7,0.12,0.1,0.4,0.83,,,16,110,38,,0.6,330.0,0.6,89,n.d.,3.2,,
"Curd cheese puff pastry (with vegetable fat), raw",,,7.1,28.8,26.9,388,9.7,11.6,4.4,,,1.2,0.9,1.3,17,,60,0.09,0.12,0.27,0.3,0.07,,12.2,0.13,0.1,1,3.62,,,16,120,37,,0.6,350.0,0.6,90,n.d.,3.6,,
"Curd, with fruits, with sugar",,,8.4,14.1,2.4,112,1.4,0.6,0.1,,,13.4,0.1,0.1,8,,28,0.01,0.34,0.27,0.3,0.03,,16.4,0.37,0.6,0.1,0.08,,,8.6,120,93,,0.4,27.0,0,120,n.d.,20,,
Curds min. 40% fidm,,,6.9,3.7,15.6,183,9.4,3.7,0.7,,,3.2,0.1,0.0,53,,164,0.02,0.3,0.28,0.26,0.03,,16.7,0.38,0.4,0.2,0.4,,,8.1,120,93,,0.3,29.0,0,110,n.d.,8.5,,
Curds with at most 10% fidm,,,10.6,4.2,0.2,61,0.1,0,0,,,3.5,0.1,0.0,0,,3,0.01,0.39,0.31,0.29,0.04,,19.4,0.42,0.1,0,0,,,9.9,140,110,,0.5,33.0,0,150,n.d.,27,,
"Curds, plain, half fat",,,9.4,4.1,5.0,99,3,1.2,0.2,,,3.4,0.1,0.0,17,,54,0.01,0.41,0.3,0.4,0.03,,18.6,0.47,0.2,0.1,0.13,,,9.3,130,110,,0.4,32.0,0,140,n.d.,21,,
"Currant, black, raw",,,1.3,9.7,0.9,71,0.1,0.1,0.5,,,9.7,0.0,5.8,0,,10,0.04,0.08,0.31,0.34,0.07,,11.5,0,209.3,0,1.5,,,23,330,57,,0.3,2.5,1.2,54,1.1,1,,
