name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
"Abricot, au sirop, en conserve, égoutté",,,0.9,13.7,0.1,62,0,0.1,0,,,13.3,0.0,1.4,0,,,0.02,0,0.11,0.12,0.02,,6.9,0,2.2,0,0.45,,,4.9,140,18,,0.1,9.7,0.1,11,0.2,0.5,,
"Abricot, avec édulcorant, en conserve, égoutté",,,0.9,8.2,0.1,40,0,0.1,0,,,6.1,0.0,1.4,0,,,0.02,0.02,0.34,0.16,0.05,,3.2,0,1.6,0,0.74,,,7.6,180,16,,0.1,0.0,0.2,20,0.8,0.6,,
"Abricot, cru",,,0.8,9.0,0.1,44,0,0.1,0,,,6.7,0.0,1.7,0,,,0.02,0.02,0.38,0.18,0.06,,5.6,0,3.6,0,0.65,,,8.4,260,15,,0.1,0.0,0.2,22,0.7,0.5,,
"Abricot, cuit,  égoutté (sans adjonction de sucre)",,,1.0,9.0,0.2,45,0,0.1,0,,,6.7,0.0,1.7,0,,,0.02,0.02,0.38,0.18,0.05,,3.5,0,1.8,0,0.82,,,8.4,200,18,,0.1,0.0,0.2,22,0.9,0.6,,
"Abricot, sec",,,2.9,59.1,0.5,239,0.2,0.1,0.2,,,34.3,0.0,8.3,0,,,0.01,0.04,2.69,0.58,0.15,,8.9,0,0.2,0,4,,,50,1370,82,,0.4,11.0,1.4,110,2.2,2.7,,
Agar Agar,,,2.4,0.0,0.2,160,n.i.,n.i.,n.i.,,,n.i.,0.3,74.1,n.i.,,,n.i.,n.i.,n.i.,n.i.,n.i.,,n.i.,n.i.,n.i.,n.i.,n.i.,,,100,52,660,,1.5,130.0,4.5,34,n.i.,n.i.,,
"Agneau, côtelette, crue (Suisse)",,,20.2,0.0,10.9,179,5.2,4,0.9,,,0,0.2,0,72,,,0.18,0.06,6.6,0.57,0.32,,6,3.61,0,5.2,0.5,,,20,310,8.4,,2.1,69.0,1.5,180,7,0.9,,
"Agneau, filet, cru",,,20.4,0.0,4.5,122,1.7,1.4,0.4,,,0,0.2,0,66,,,0.13,0.23,6.51,0.66,0.17,,24,2.2,0,0,0.19,,,27,280,12,,3.2,68.0,1.9,190,5.9,0.7,,
"Agneau, filet, cru (Australie, Nouvelle-Zélande)",,,21.8,0.0,3.3,117,1.3,1,0.3,,,0,0.1,0,72,,,0.18,0.06,6.7,0.92,0.51,,6,3.61,0,2.9,0.5,,,23,330,3.8,,2.3,44.0,1.9,200,8.7,0.8,,
"Agneau, filet, grillé ""à point"" (sans adjonction de graisse ni de sel)",,,25.8,0.0,4.8,147,1.8,1.5,0.4,,,0,0.2,0,88,,,0.1,0.25,6.08,0.7,0.14,,25.6,2.05,0,0,0.2,,,31,290,14,,4.3,77.0,2.4,220,7.9,0.9,,
"Agneau, gigot, cru (Suisse, Nouvelle-Zélande)",,,20.2,0.0,8.2,155,3.9,3.1,0.6,,,0,0.2,0,65,,,0.18,0.06,6.52,0.92,0.46,,6,3.61,0,6.1,0.4,,,20,330,4.7,,3.6,61.0,1.6,190,4.7,0.8,,
"Agneau, gigot, rôti (sans adjonction de graisse ni de sel)",,,28.6,0.0,9.8,203,4.7,3.7,0.8,,,0,0.2,0,97,,,0.16,0.07,6.81,1.1,0.41,,7.2,3.77,0,7.2,0.48,,,25,390,6.3,,5.4,77.0,2.3,240,7,1.2,,
"Agneau/mouton (moyenne sans abats ni côtelette), cru",,,20.5,0.0,6.1,137,2.7,2.1,0.5,,,0,0.1,0,67,,,0.17,0.1,6.56,0.77,0.38,,10.5,3.26,0,3.8,0.4,,,22,310,6.3,,3.3,58.0,1.7,190,6.7,0.7,,
"Agneau, rack, cru (Australie, Nouvelle-Zélande)",,,20.3,0.0,8.3,156,3.9,2.8,0.6,,,0,0.2,0,68,,,0.18,0.06,6.6,0.57,0.61,,6,3.61,0,2.9,0.5,,,24,300,7.5,,2.2,63.0,1.8,180,7.2,0.9,,
"Agneau, ragoût, cru (Suisse)",,,19.6,0.0,8.4,154,3.9,2.9,0.7,,,0,0.2,0,66,,,0.18,0.06,6.52,0.57,0.36,,6,3.61,0,6.1,0.5,,,18,310,4.6,,4.3,60.0,1.3,170,7.4,0.7,,
"Agrume (moyenne), cru",,,0.8,7.5,0.3,40,0,0.1,0.1,,,7,0.0,2.2,0,,,0.08,0.03,0.31,0.18,0.05,,17.5,0,47.6,0,0.3,,,13,160,34,,0.1,1.0,0.3,28,1.5,1.1,,
"Ail, cru",,,6.4,16.3,0.5,107,0.1,0,0.3,,,1.6,0.0,5.8,0,,,0.2,0.11,0.7,0.36,1.24,,26.1,0,17,0,0.01,,,20,530,11,,0.7,9.0,1.7,130,2,1.4,,
"Airelle rouge, crue",,,0.3,6.2,0.5,36,0,0.1,0.3,,,6.1,0.0,2.9,0,,,0.02,0.02,0.1,0,0.01,,3,0,12,0,0.94,,,6,81,14,,0.2,2.0,0.5,10,0.1,5,,
"Algue, Nori, séchée",,,31.5,10.5,1.6,255,0.4,0.2,0.7,,,0.5,5.0,36.3,0,,,0.58,1.91,5.82,0.25,0.53,,21.7,n.i.,57.3,0.6,2.87,,,490,1730,320,,4.5,1980.0,37,520,51,5100,,
Amande,,,25.6,7.8,52.1,624,4.3,33.5,12.1,,,6.6,0.0,10.6,0,,,0.15,0.94,1.88,0.48,0.13,,55.9,0,0.5,0,25.44,,,240,740,270,,3.3,1.1,3.3,510,2.2,0.2,,
"Amande, grillée, salée",,,25.6,7.2,55.2,649,4.2,34.8,13.5,,,4.6,0.8,10.5,0,,,0.09,0.78,3.67,0.23,0.12,,27,0,0,0,26,,,270,670,240,,3.1,330.0,3.3,470,2,2.4,,
"Amande, grillée sans graisse, salée",,,25.4,10.1,52.5,637,4.1,33.1,13,,,4.9,0.6,10.9,0,,,0.08,1.2,3.64,0.32,0.14,,55,0,0,0,23.9,,,280,710,270,,3.3,230.0,3.7,470,2,2.4,,
"Amarante, grain, cru",,,15.8,56.8,7.0,376,1.5,1.7,2.8,,,1.7,0.0,11,0,,,0.08,0.19,1.2,0.95,0.53,,64.3,0,4.2,0,1.19,,,250,480,160,,3.7,4.0,9,560,n.i.,2.5,,
"Amarante, grain, cuit (sans adjonction de graisse ni de sel)",,,5.0,18.1,2.1,119,0.4,0.5,0.8,,,0.5,0.0,3.5,0,,,0.02,0.06,0.34,0.27,0.11,,16.2,0,1,0,0.4,,,84,150,58,,1.2,1.9,3,180,n.i.,0.8,,
Amaretti (biscuits aux amandes),,,8.8,76.7,13.0,464,1.1,8.3,3,,,76.4,0.1,2.6,0,,,0.04,0.31,0.48,0.17,0.04,,15,0.07,0.1,0,6.33,,,62,220,69,,0.8,42.0,0.9,130,3.2,1.7,,
Amidon de blé ,,,0.4,85.8,0.1,348,0,0,0.1,,,0,0.0,1.2,0,,,0,0,0.01,0,0,,0,0,0,0,0,,,4,16,0,,0.1,2.0,0,20,n.i.,0,,
"Ananas, au jus d'ananas, en conserve, égoutté",,,0.5,13.6,0.1,60,0,0,0,,,12.8,0.0,1.4,0,,,0.06,0,0.2,0.07,0.08,,5,0,5,0,0.02,,,12,130,11,,0.1,1.0,0.2,7.8,0.1,0.3,,
"Ananas, au jus d'ananas, en conserve, non égoutté",,,0.4,13.6,0.1,59,0,0,0,,,12.6,0.0,0.9,0,,,0.06,0.01,0.2,0.06,0.06,,5,0,5,0,0.01,,,12,130,10,,0.1,0.2,0.2,7.1,0.1,0.1,,
"Ananas, au sirop, en conserve, égoutté",,,0.5,15.9,0.1,70,0,0,0,,,15.9,0.0,1.6,0,,,0.03,0,0.2,0.04,0.05,,5,0,5.2,0,0.02,,,11,95,6.4,,0.1,1.9,0.1,4.8,0.1,0.3,,
"Ananas, avec édulcorant, en conserve, égoutté",,,0.5,9.4,0.1,42,0,0,0,,,8.4,0.0,1,0,,,0.04,0.01,0.16,0.1,0.05,,4.7,0,22.6,0,0.02,,,8.8,73,13,,0.1,0.6,0.1,4.8,0.3,1.4,,
"Ananas, cru",,,0.5,11.7,0.1,52,0,0,0,,,10.5,0.0,1.2,0,,,0.07,0.02,0.2,0.13,0.07,,9.4,0,56.5,0,0.02,,,11,120,14,,0.1,1.0,0.2,6,0.3,1.4,,
"Anchois à l'huile, égoutté",,,26.4,0.2,8.5,182,3.1,3.6,1.4,,,0.1,12.0,0,76,,,0.04,0.25,3.9,0.63,0.37,,16,20.9,0.5,1.7,1.16,,,230,250,290,,1.7,4970.0,2.7,280,8,30,,
"Appenzeller, gras",,,24.3,0.0,31.7,384,19,7.4,1.5,,,0,1.6,0,95,,,0.04,0.36,0.1,0.33,0.07,,15,1.06,0,0.5,0.95,,,29,82,740,,4,620.0,0.3,540,n.i.,8.4,,
"Appenzeller, quart-gras",,,33.1,0.0,11.4,235,6.8,2.7,0.5,,,0,2.0,0,34,,,0.04,0.5,0.1,0.54,0.07,,15,1.3,0,0.3,0.36,,,36,120,1090,,2.5,810.0,0.2,730,n.i.,35,,
"Artichaut, coeur, en conserve, égoutté",,,1.8,2.3,0.5,27,0,0,0,,,1.2,0.8,3.2,0,,,0.02,0.03,0.39,0.13,0.03,,54.3,0,12.2,0.3,1.12,,,18,150,25,,0.3,310.0,0.4,34,n.i.,20,,
"Asperge, blanche, crue",,,2.4,2.5,0.3,26,0.1,0,0.2,,,1.9,0.0,1.8,0,,,0.09,0.23,0.98,0.16,0.06,,61.2,0,17.7,0,1.13,,,8.9,190,16,,0.4,1.8,0.4,41,0.6,4,,
"Asperge (blanche ou verte), à la vapeur (sans adjonction de sel)",,,2.0,2.7,0.3,25,0.1,0,0.2,,,1.8,0.0,1.7,0,,,0.09,0.16,0.49,0.19,0.07,,47.6,0,11.1,0,1.13,,,9.8,190,15,,0.5,1.8,0.3,48,0.9,4.8,,
"Asperge (blanche ou verte), crue",,,2.2,2.8,0.3,26,0.1,0,0.2,,,1.9,0.0,1.8,0,,,0.12,0.18,0.61,0.22,0.08,,79.4,0,14.8,0,1.13,,,11,220,16,,0.5,2.1,0.4,50,1,5,,
"Asperge, verte, crue",,,1.9,3.1,0.3,26,0.1,0,0.2,,,1.9,0.0,1.8,0,,,0.13,0.12,0.24,0.27,0.11,,98.5,0,12.5,0,2,,,13,250,17,,0.6,2.0,0.4,59,0.6,4,,
"Aubergine, à la vapeur (sans adjonction de sel)",,,1.1,2.4,0.1,21,0,0,0.1,,,2.4,0.0,2.7,0,,,0.03,0.03,0.62,0.23,0.07,,15.8,0,1.5,0,0.18,,,14,210,12,,0.1,2.3,0.3,21,4,0.1,,
"Aubergine, à l'étuvée (sans adjonction de graisse ni de sel)",,,1.3,2.8,0.2,24,0,0,0.1,,,2.8,0.0,3.2,0,,,0.04,0.04,0.72,0.26,0.08,,18.4,0,1.7,0,0.21,,,15,230,15,,0.2,2.7,0.3,25,4.6,0.1,,
"Aubergine, crue",,,1.1,2.4,0.1,21,0,0,0.1,,,2.4,0.0,2.7,0,,,0.04,0.03,0.72,0.25,0.08,,24.5,0,1.9,0,0.17,,,14,240,12,,0.1,2.5,0.3,21,3.9,0.1,,
"Avocat, cru",,,1.6,1.2,15.1,158,2.8,7.7,1.7,,,1.1,0.0,5.5,0,,,0.05,0.11,1.22,0.94,0.14,,57.9,0,3.7,0,1.94,,,29,430,15,,0.5,2.4,0.5,45,0,0,,
"Avoine, flocons",,,13.5,59.5,7.5,381,0.9,1.9,2.2,,,1,0.0,10.5,0,,,0.34,0.05,0.56,0.45,0.09,,20.5,0,0,0,0.79,,,130,390,54,,3.2,19.0,3.5,440,2.1,0.5,,
Babeurre,,,3.4,4.0,0.5,34,0.3,0.1,0,,,4,0.1,0,1,,,0.03,0.16,0.1,0.3,0.04,,5,0.2,0.6,0,0.02,,,16,150,110,,0.5,57.0,0.1,90,n.i.,7.3,,
Baguette parisienne ,,,9.0,51.2,0.9,255,0.2,0.1,0.5,,,0.5,1.6,2.9,0,,,0.12,0.03,0.46,0.26,0.09,,8.8,0.01,0,0,0.36,,,22,140,10,,0.7,660.0,0.9,81,2.7,1,,
"Baie de sureau noir, crue",,,2.5,7.4,1.7,63,0.1,0.1,1.1,,,7.4,0.0,4,0,,,0.07,0.07,1.6,0.16,0.25,,17,0,29,0,1,,,30,300,37,,0.2,1.0,1.6,57,n.i.,3,,
"Baie (moyenne), crue",,,0.9,7.0,0.5,43,0.1,0.1,0.3,,,6.6,0.0,3.7,0,,,0.02,0.03,0.35,0.2,0.04,,29.1,0,47.3,0,0.67,,,13,150,20,,0.1,1.4,0.3,25,0.4,1.4,,
"Baie (moyenne), cuite (sans adjonction de sucre)",,,0.9,5.9,0.5,38,0.1,0.1,0.3,,,5.5,0.0,3.1,0,,,0.01,0.03,0.3,0.17,0.03,,15.3,0,19.9,0,0.7,,,11,95,20,,0.1,0.9,0.3,21,0.4,1.5,,
"Bami Goreng, préparé",,,13.5,13.1,2.4,130,0.3,1.3,0.5,,,1.3,1.0,0.9,44,,,0.11,0.08,3.57,0.32,0.14,,5,0.05,11.6,0.3,0.41,,,18,200,9,,0.6,400.0,0.7,120,22,1.5,,
"Banane, crue",,,1.1,19.7,0.2,90,0.1,0,0.1,,,15.6,0.0,2.7,0,,,0.05,0.03,0.6,0.23,0.25,,25.6,0,11.9,0,0,,,28,320,5.1,,0.1,0.0,0.2,29,0.5,3,,
"Banane, déshydratée (chips)",,,3.9,80.7,1.8,370,0.7,0.2,0.3,,,65.3,0.0,7.6,0,,,0.18,0.24,2.8,0,0,,0,0,7,0,0,,,110,1490,22,,0,3.0,1.2,74,n.i.,0,,
"Banane, mi-sèche",,,3.0,60.2,1.0,273,0.4,0.1,0.2,,,43.7,0.0,5.5,0,,,0.1,0.18,2,0.54,0.81,,33.3,0,4,0,0.6,,,90,1150,20,,0.6,8.0,1.3,75,n.i.,8.1,,
"Barre de céréales, avec enrobage de chocolat",,,8.7,57.9,20.3,460,10.9,6.6,2,,,37,0.4,5.7,4,,,0.17,0.19,1.06,0.36,0.14,,21.6,0,2.5,0,1.03,,,67,450,110,,1.6,150.0,2.3,210,n.i.,7.2,,
"Barre de céréales, sans enrobage ni garniture",,,8.2,64.0,13.0,418,5.5,4.4,2.2,,,32.1,0.4,6,0,,,0.19,0.07,1.36,0.4,0.17,,22.8,0,1.7,0,1.13,,,62,270,29,,1.4,180.0,2.2,180,n.i.,1.8,,
"Barre ou batonnet de crème glacée, enrobé de chocolat",,,5.1,35.8,21.4,359,15.2,4.4,1.4,,,27.7,0.3,1.3,9,,,0.07,0.32,0.82,0.56,0.13,,0.9,0.26,1,0.5,1.5,,,40,250,150,,1.1,120.0,1.1,48,5,16,,
"Basilic, cru",,,3.1,5.1,0.8,46,0.1,0,0.4,,,5,0.0,3.1,0,,,0.08,0.31,1.1,0.2,0.18,,50,0,26,0,1,,,11,300,250,,0.7,9.0,5.5,37,n.i.,0.9,,
"Bâtonnet de poisson, pané et préfrit",,,15.5,15.5,11.9,232,0.9,6.8,3.5,,,0.1,0.6,0.7,47,,,0.07,0.04,1.4,n.i.,0.12,,8.5,0.88,0,0.9,1.27,,,19,300,10,,0.5,250.0,0.4,140,18,89,,
"Bâtonnet de poisson (pané et préfrit), au four (sans adjonction de graisse)",,,16.7,17.6,12.4,251,1,7.1,3.6,,,0.1,0.6,0.8,53,,,0.06,0.04,1.32,n.i.,0.12,,7.7,0.9,0,0.8,1.35,,,19,290,12,,0.5,240.0,0.4,150,21,100,,
"Bâtonnet de poisson (pané et préfrit), grillé à l'huile de colza HOLL",,,16.0,16.8,18.9,302,1.4,12,4.4,,,0.1,0.6,0.8,51,,,0.06,0.04,1.37,n.i.,0.1,,7.4,0.86,0,0.8,1.64,,,18,280,11,,0.5,230.0,0.4,140,20,96,,
Bâtonnets aux noisettes,,,10.5,47.0,36.6,567,12.5,17.7,3.1,,,22.6,0.1,3.7,140,,,0.19,0.08,0.46,0.89,0.2,,29.5,0.29,0.5,0.8,5.11,,,55,280,61,,1.5,56.0,1.9,180,5.6,11,,
Berner Hobelkäse (fromage à rebibes),,,30.0,0.0,41.2,491,24.7,9.7,1.9,,,n.i.,1.7,0,n.i.,,,n.i.,0.56,n.i.,0.43,n.i.,,n.i.,0.83,n.i.,0.8,n.i.,,,n.i.,n.i.,n.i.,,n.i.,690.0,n.i.,n.i.,n.i.,n.i.,,
"Bette, à la vapeur (sans adjonction de sel)",,,1.3,2.0,0.3,20,0,0.1,0.1,,,1.5,0.1,2.2,0,,,0.04,0.02,0.42,0.2,0.07,,14.7,0,7.7,0,n.i.,,,20,340,48,,0.1,60.0,0.9,13,0.6,5,,
"Bette, crue",,,1.0,1.6,0.2,16,0,0,0.1,,,1.2,0.1,1.8,0,,,0.04,0.02,0.4,0.18,0.06,,18.7,0,10.7,0,n.i.,,,17,300,38,,0.1,53.0,0.9,10,0.5,4,,
"Betterave rouge, à la vapeur (sans adjonction de sel)",,,2.0,10.0,0.4,56,0.1,0,0.2,,,10,0.1,2.7,0,,,0.02,0.05,0.2,0.16,0.04,,68.3,0,4.8,0,0.1,,,21,440,21,,0.4,47.0,0.3,26,0.2,0.6,,
"Betterave rouge, crue",,,1.7,8.4,0.3,48,0,0,0.1,,,8.4,0.1,2.3,0,,,0.02,0.04,0.2,0.15,0.04,,91,0,4.8,0,0.08,,,20,410,18,,0.3,47.0,0.3,22,0.2,0.5,,
Beurre à rôtir,,,0.1,0.0,98.3,885,58.9,23.1,4.5,,,0,0.0,0,282,,,0,0,0,0,0,,0,0,0,1.6,1.77,,,0,5,2,,0.2,10.0,0,0,0,0,,
Beurre d'arachides,,,26.1,12.5,51.8,636,12.8,19.9,16.9,,,6.4,0.9,7.6,0,,,0.17,0.1,15,1.24,0.58,,53,0,0,0,4.7,,,180,700,37,,3,350.0,2,330,3,0,,
Beurre de cacao,,,0.0,0.0,100.0,900,59.7,32.9,3,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0.5,,,0,0,0,,0,0.0,0,0,0,0,,
Beurre de choix,,,0.7,0.7,82.3,746,49.4,19.3,3.8,,,0.6,0.0,0,241,,,0,0.04,0.04,0.06,0,,0,0.07,0,1.1,1.77,,,1.5,21,18,,0.2,10.0,0,22,0.5,8,,
Beurre de cuisine,,,0.5,0.7,82.2,745,49.3,19.3,3.8,,,0.6,0.0,0,221,,,0,0.03,0,0,0,,0,0,0,1.3,1.75,,,1.4,20,16,,0.2,10.0,0,21,0.5,0,,
Beurre de fromagerie,,,0.4,0.6,82.5,747,49.5,19.4,3.8,,,0.5,0.0,0,246,,,0,0.02,0,0,0,,0,0,0,1.3,2.2,,,1,18,12,,0.2,10.0,0,18,n.i.,0,,
Beurre mi-gras,,,4.8,3.5,39.8,391,24.1,12,1.5,,,3.5,0.3,0,140,,,0.03,0.01,0.97,0.35,0.02,,10,0.5,0,1.4,1,,,14,160,120,,0.4,120.0,0,90,n.i.,3.5,,
Biber,,,7.8,65.4,5.6,355,0.7,3.1,1.4,,,36.9,0.1,3.2,22,,,0.08,0.12,0.39,0.24,0.11,,12.6,0.06,0.5,0.1,2.44,,,32,150,56,,0.8,57.0,1.4,140,3.4,2.5,,
Bière aux cinq céréales,,,0.6,2.0,0.0,40,0,0,0,,,2,0.0,0.2,0,,,0,0.04,0.77,0.09,0.09,,5,0.1,0,0,0,,,11,43,3.6,,0,1.4,0,16,n.i.,0,,
Bière blonde,,,0.5,3.1,0.0,42,0,0,0,,,2.2,0.0,0,0,,,0,0.03,0.77,0.03,0.06,,6.3,0.02,0,0,0,,,9.6,55,3.5,,0,1.9,0,19,n.i.,1.5,,
Bière panachée (moyenne),,,0.2,7.4,0.0,39,0,0,0,,,7.1,0.0,0,0,,,0,0.02,0.27,0.01,0.02,,2.1,0.01,0,0,0,,,11,24,4.5,,0,2.6,0.1,7,n.i.,1.7,,
"Bière, sans alcool",,,0.4,4.9,0.0,23,0,0,0,,,2.6,0.0,0,0,,,0.01,0.01,0.65,0.08,0.04,,5,0.02,0,0,0,,,6.2,34,4.8,,0,1.5,0,11,n.i.,1,,
"Billes de maïs, croustillantes, au miel",,,5.9,83.5,1.5,379,0.3,0.3,0.7,,,22.6,0.7,4.2,1,,,0.05,0.02,0.71,0.14,0.07,,9.3,0,0.5,0,0.3,,,30,160,5.3,,0.8,290.0,0.9,100,1.5,2,,
"Birchermüesli, préparé (non sucré)",,,2.6,11.1,3.1,86,1.1,1.1,0.6,,,8.2,0.0,1.5,5,,,0.04,0.09,0.19,0.22,0.05,,8,0.09,4.7,0,0.41,,,19,160,58,,0.4,19.0,0.3,78,n.i.,5.8,,
Biscotte,,,11.6,74.6,7.8,421,1,2,4.4,,,14.2,1.3,2.9,0,,,0.16,0.11,0.5,0.42,0.15,,21.4,0.04,0,0,3.32,,,33,210,39,,1.1,500.0,1.4,140,2.3,1.8,,
Biscotte complète,,,17.5,61.2,9.1,412,4.1,2.4,1.6,,,13.8,1.9,7.8,9,,,0.29,0.27,0.72,0.85,0.32,,32.4,0.12,0.1,0.1,0.89,,,98,390,99,,2.7,760.0,3.6,320,4.4,4.3,,
