name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Huile de germes de blé,,,0.0,0.0,100.0,900,17.4,14,61.7,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,133,,,0,0,0,,0,0.0,0,0,0,0,,
Huile de graines de courge,,,0.0,0.0,100.0,900,16.4,28.5,49.5,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,9.1,,,0,0,0,,0,0.0,0,0,0,0,,
"Huile de lin, pressée à froid",,,0.0,0.0,100.0,900,9.5,19,67,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0.18,,,0,0,1,,0.1,0.0,0,1,0,0,,
Huile de maïs,,,0.0,0.0,100.0,900,12.2,27.5,56.3,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,26,,,0,0,0,,0,0.0,0,0,0,0,,
Huile de noisette,,,0.0,0.0,100.0,900,8.3,75.4,12.9,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,28.6,,,0,0,0,,0,0.0,0,0,0,0,,
Huile de noix,,,0.0,0.0,100.0,900,10,16.8,69.6,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,2.05,,,0,0,0,,0,0.0,0,0,0,0,,
Huile de pépins de raisin,,,0.0,0.0,100.0,900,11.2,18.5,65.3,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,19.27,,,0,1,0,,0,0.0,0,0,0,0,,
Huile de sésame,,,0.0,0.0,100.0,900,14.9,40.2,40,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,1.4,,,0,0,0,,0,0.0,0,0,0,0,,
Huile de soja,,,0.0,0.0,100.0,900,14.7,22.1,60.3,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,6.1,,,0,1,0,,0,0.0,0,0,0,0,,
Huile de tournesol,,,0.0,0.0,100.0,900,11.1,27.6,56.3,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,56.95,,,0,1,1,,0.1,1.0,0.1,0,0,0,,
"Huile de tournesol HO, raffinée",,,0.0,0.0,100.0,900,9.9,83.7,3.8,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,40,,,0,0,0,,0,0.0,0,0,0,0,,
Huile d'olive,,,0.0,0.0,100.0,900,11.9,75.2,7.4,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,28.8,,,1,1,0,,0,1.0,0.1,2,0,0.1,,
Jambon cru,,,31.0,0.3,11.5,229,4.3,5.3,0.7,,,0.3,4.4,0,78,,,0.97,0.24,10.73,1.5,0.5,,2,0.39,4.4,0.6,0.2,,,30,560,9,,2.9,1760.0,2.8,290,15,0,,
Jambon cuit de derrière,,,20.2,0.7,2.3,104,0.9,1.1,0.2,,,0.7,2.4,0,42,,,0.79,0.19,6.37,0.7,0.39,,2,0.09,60.8,0,0.19,,,24,450,17,,1.9,940.0,0.6,330,8,3.6,,
Jambon cuit de devant,,,18.6,0.4,3.3,106,1.3,1.6,0.2,,,0.4,2.2,0,42,,,0.51,0.18,4.9,1,0.34,,2,0,63.8,0,0.22,,,21,460,15,,2.5,870.0,0.8,300,10,3.6,,
Jambon roulé,,,20.3,1.2,10.6,181,4.1,5,0.7,,,1.2,2.9,0,50,,,0.67,0.16,5.7,1,0.34,,3,2,10.8,0,0.29,,,21,460,7.7,,2.7,1170.0,0.7,220,9.2,1.1,,
"Jambon roulé, cuit (sans adjonction de graisse ni de sel)",,,23.3,1.4,9.9,188,3.8,4.7,0.7,,,1.4,2.2,0,62,,,0.49,0.17,4.2,0.78,0.23,,2.3,1.5,9.5,0,0.28,,,20,350,8,,3.2,860.0,0.8,210,12,1.4,,
"Jaune d'oeuf, cru",,,16.4,0.3,31.3,349,8.8,12,5,,,0.2,0.1,0,1255,,,0.2,0.59,0.04,4.53,0.35,,122,3.42,0,5.6,5.16,,,12,120,140,,3.8,52.0,5.5,560,48,110,,
Jus d'ananas,,,0.4,12.1,0.1,51,0,0,0.1,,,12.1,0.0,0.2,0,,,0.05,0.02,0.2,0.1,0.1,,2,0,12.1,0,0.02,,,14,130,16,,0.1,5.0,0.2,4,0.1,0,,
Jus de carotte,,,0.6,6.2,0.1,30,0,0,0,,,4.4,0.1,0.8,0,,,0.05,0.05,0.36,0.21,0.18,,3.6,0,6.4,0,0.51,,,12,250,22,,0.1,32.0,0.5,35,n.i.,13,,
Jus de citron,,,0.4,2.5,0.2,28,0,0,0,,,2.5,0.0,0.3,0,,,0.02,0.02,0.09,0.13,0.05,,20,0,38.7,0,0.15,,,6,100,6,,0.1,1.0,0.1,8,0.1,0.6,,
"Jus de fruit dilué (60% jus - 40 % eau), non sucré (moyenne)",,,0.3,6.5,0.1,28,0,0,0,,,6.4,0.0,0.1,0,,,0.03,0.01,0.13,0.09,0.05,,11.3,0,13.7,0,0.09,,,5.4,85,7.3,,0,4.8,0.1,7.3,0.3,0.4,,
"Jus de fruit, non sucré (moyenne)",,,0.4,10.8,0.1,47,0,0,0,,,10.6,0.0,0.2,0,,,0.05,0.02,0.21,0.15,0.08,,18.8,0,22.9,0,0.14,,,8.4,140,7.5,,0.1,7.3,0.2,12,0.6,0.7,,
Jus de poire,,,0.4,11.6,0.2,50,0,0.1,0.1,,,9.6,0.0,0,0,,,0.02,0.02,0.18,0.05,0.01,,8.7,0,2.9,0,0.45,,,6.7,100,10,,0.1,1.9,0.2,11,n.i.,0.8,,
Jus de poire concentré,,,3.1,81.0,1.7,351,0.6,0.1,0.8,,,79.8,0.0,0,0,,,0.2,0.22,1.29,0.36,0.09,,63,0,20.2,0,3.14,,,49,710,70,,0.8,14.0,1.1,77,n.i.,5.6,,
